model,experimentID,object,file,n
gemini-2.5-flash,exp11,dat_llm_results_exps_cloud_gemini_2.5_flash,llm_test.all_exps.gemini-2.5-flash.RData,5760
gemini-2.5-flash,exp2ac,dat_llm_results_exps_cloud_gemini_2.5_flash,llm_test.all_exps.gemini-2.5-flash.RData,2880
gemini-2.5-flash,exp2b,dat_llm_results_exps_cloud_gemini_2.5_flash,llm_test.all_exps.gemini-2.5-flash.RData,2880
gemini-2.5-flash,exp4,dat_llm_results_exps_cloud_gemini_2.5_flash,llm_test.all_exps.gemini-2.5-flash.RData,2000
gpt-4.1-mini,exp11,dat_llm_results_exps_cloud,llm_test.all_exps.cloud_models.RData,5760
gpt-4.1-mini,exp11,dat_llm_results_exps_cloud_gpt_4.1_mini,llm_test.all_exps.gpt-4.1-mini.RData,5760
gpt-4.1-mini,exp2ac,dat_llm_results_exps_cloud,llm_test.all_exps.cloud_models.RData,2880
gpt-4.1-mini,exp2ac,dat_llm_results_exps_cloud_gpt_4.1_mini,llm_test.all_exps.gpt-4.1-mini.RData,2880
gpt-4.1-mini,exp2b,dat_llm_results_exps_cloud,llm_test.all_exps.cloud_models.RData,2880
gpt-4.1-mini,exp2b,dat_llm_results_exps_cloud_gpt_4.1_mini,llm_test.all_exps.gpt-4.1-mini.RData,2880
gpt-4.1-mini,exp4,dat_llm_results_exps_cloud,llm_test.all_exps.cloud_models.RData,2000
gpt-4.1-mini,exp4,dat_llm_results_exps_cloud_gpt_4.1_mini,llm_test.all_exps.gpt-4.1-mini.RData,2000
llama3.2,exp11,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,5760
llama3.2,exp2ac,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
llama3.2,exp2b,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
llama3.2,exp4,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2000
mistral,exp11,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,5753
mistral,exp2ac,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
mistral,exp2b,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
mistral,exp4,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2000
mistral-nemo,exp11,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,5760
mistral-nemo,exp2ac,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
mistral-nemo,exp2b,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2880
mistral-nemo,exp4,dat_llm_results_exps_local,llm_test.all_exps.local_models.RData,2000
